dealer_id,plant_id,brand_name,model_id,vin,data_collection_status,vin_last_8,prefix,model_name,model_year,build_date,sold_date,plant_name,dealer_name,dealer_country
dealer_8589934592,plant_17179869184,StarCars,StarCars / StarCars Nebula / 2020,SFQWFP4PTWEZNBBK,Registered,TWEZNBBK,TW,StarCars Nebula,2020,23/03/2020,09/11/2022,StarCars Orion Manufacturing,StarCars Cosmic Cars,CA
dealer_8589934593,plant_8589934592,StarCars,StarCars / StarCars Celestial / 2019,GKPGKAAOTSQCSI2O,Registered,TSQCSI2O,TS,StarCars Celestial,2019,15/09/2019,24/05/2021,StarCars Meteor Assembly,StarCars Nebula Motors,AT
dealer_8589934592,plant_25769803777,StarCars,StarCars / StarCars Supernova / 2020,AMMNWHNH9LXLSLIB,Not registered,9LXLSLIB,9L,StarCars Supernova,2020,12/06/2020,22/03/2023,StarCars Celestial Assembly,StarCars Cosmic Cars,CA
dealer_8589934593,plant_25769803777,StarCars,StarCars / StarCars Galaxy / 2018,QLR5T8YGEVJO0T6T,Not registered,EVJO0T6T,EV,StarCars Galaxy,2018,23/10/2018,05/03/2020,StarCars Celestial Assembly,StarCars Nebula Motors,AT
dealer_8589934592,plant_1,StarCars,StarCars / StarCars Celestial / 2019,OV0CAVR72LSRTMQU,Not registered,2LSRTMQU,2L,StarCars Celestial,2019,14/01/2019,26/12/2021,StarCars Comet Factory,StarCars Cosmic Cars,CA
dealer_1,plant_17179869185,StarCars,StarCars / StarCars Solar / 2018,84DLXL1GHNSQRAIS,Not registered,HNSQRAIS,HN,StarCars Solar,2018,02/04/2018,22/11/2020,StarCars Nebula Plant,StarCars Stellar Auto,UK
dealer_1,plant_8589934592,StarCars,StarCars / StarCars Celestial / 2019,DULPLRZCMZ6FMVTY,Not registered,MZ6FMVTY,MZ,StarCars Celestial,2019,23/01/2019,06/12/2022,StarCars Meteor Assembly,StarCars Stellar Auto,UK
dealer_0,plant_25769803777,StarCars,StarCars / StarCars Andromeda / 2019,TVZCOKCCVQSHOJFH,Not registered,VQSHOJFH,VQ,StarCars Andromeda,2019,26/09/2019,10/09/2022,StarCars Celestial Assembly,StarCars Galaxy Motors,DE
dealer_8589934592,plant_17179869185,StarCars,StarCars / StarCars Milky Way / 2018,PI7YTRL7NZM7TYVU,Not registered,NZM7TYVU,NZ,StarCars Milky Way,2018,05/07/2018,23/11/2020,StarCars Nebula Plant,StarCars Cosmic Cars,CA
dealer_8589934592,plant_0,StarCars,StarCars / StarCars Orion / 2019,VDXUKY044ZARRT15,Registered,4ZARRT15,4Z,StarCars Orion,2019,20/06/2019,26/12/2022,StarCars Nova Plant,StarCars Cosmic Cars,CA
dealer_8589934593,plant_1,StarCars,StarCars / StarCars Nova / 2019,ZIZOXKJVKVDPLOAF,Registered,KVDPLOAF,KV,StarCars Nova,2019,07/01/2019,31/03/2023,StarCars Comet Factory,StarCars Nebula Motors,AT
dealer_8589934592,plant_17179869185,StarCars,StarCars / StarCars Nebula / 2020,FA7OSEHWNIH0HHNY,Not registered,NIH0HHNY,NI,StarCars Nebula,2020,17/03/2020,21/03/2023,StarCars Nebula Plant,StarCars Cosmic Cars,CA
dealer_8589934592,plant_8589934592,StarCars,StarCars / StarCars Andromeda / 2019,KKRTIEMNDT5LT8PU,Not registered,DT5LT8PU,DT,StarCars Andromeda,2019,12/07/2019,07/10/2022,StarCars Meteor Assembly,StarCars Cosmic Cars,CA
dealer_8589934592,plant_8589934592,StarCars,StarCars / StarCars Milky Way / 2019,RGRDXK0B6NOSCUZG,Registered,6NOSCUZG,6N,StarCars Milky Way,2019,15/06/2019,30/07/2021,StarCars Meteor Assembly,StarCars Cosmic Cars,CA
dealer_8589934592,plant_17179869184,StarCars,StarCars / StarCars Milky Way / 2020,NCGN1JV995XJDLVR,Registered,95XJDLVR,95,StarCars Milky Way,2020,01/03/2020,03/05/2021,StarCars Orion Manufacturing,StarCars Cosmic Cars,CA
dealer_0,plant_0,StarCars,StarCars / StarCars Andromeda / 2018,93CZJVGXRHYUDX8G,Not registered,RHYUDX8G,RH,StarCars Andromeda,2018,27/10/2018,26/08/2020,StarCars Nova Plant,StarCars Galaxy Motors,DE
dealer_1,plant_8589934592,StarCars,StarCars / StarCars Andromeda / 2020,QOXVDPF6JXGWE8ZX,Not registered,JXGWE8ZX,JX,StarCars Andromeda,2020,18/08/2020,18/05/2023,StarCars Meteor Assembly,StarCars Stellar Auto,UK
dealer_1,plant_0,StarCars,StarCars / StarCars Celestial / 2018,HTASRIJNVQEDR1PN,Not registered,VQEDR1PN,VQ,StarCars Celestial,2018,01/12/2018,19/01/2023,StarCars Nova Plant,StarCars Stellar Auto,UK
dealer_8589934594,plant_8589934592,StarCars,StarCars / StarCars Black Hole / 2018,NT4C6KXI7SPW0QLE,Not registered,7SPW0QLE,7S,StarCars Black Hole,2018,18/09/2018,06/11/2019,StarCars Meteor Assembly,StarCars Orion Auto,CH
dealer_8589934594,plant_8589934593,StarCars,StarCars / StarCars Supernova / 2019,V5W4BCDWC1UPHXJV,Registered,C1UPHXJV,C1,StarCars Supernova,2019,30/04/2019,18/10/2022,StarCars Galaxy Works,StarCars Orion Auto,CH
dealer_1,plant_0,StarCars,StarCars / StarCars Celestial / 2020,TZMGAH9LDFBALQ69,Not registered,DFBALQ69,DF,StarCars Celestial,2020,28/11/2020,15/08/2021,StarCars Nova Plant,StarCars Stellar Auto,UK
dealer_8589934592,plant_8589934593,StarCars,StarCars / StarCars Solar / 2020,PF9BQPUOYICVCGCY,Not registered,YICVCGCY,YI,StarCars Solar,2020,29/06/2020,24/12/2022,StarCars Galaxy Works,StarCars Cosmic Cars,CA
dealer_8589934594,plant_8589934592,StarCars,StarCars / StarCars Stellar / 2018,5HFKOWWAU0R73ZI6,Not registered,U0R73ZI6,U0,StarCars Stellar,2018,15/12/2018,10/10/2020,StarCars Meteor Assembly,StarCars Orion Auto,CH
dealer_8589934592,plant_25769803777,StarCars,StarCars / StarCars Milky Way / 2018,R6C0ZMVHFAPPGRPQ,Registered,FAPPGRPQ,FA,StarCars Milky Way,2018,04/08/2018,03/09/2022,StarCars Celestial Assembly,StarCars Cosmic Cars,CA
dealer_8589934593,plant_17179869184,StarCars,StarCars / StarCars Orion / 2018,VVOLH45DRQGEKEEX,Not registered,RQGEKEEX,RQ,StarCars Orion,2018,04/09/2018,04/02/2022,StarCars Orion Manufacturing,StarCars Nebula Motors,AT
dealer_1,plant_8589934592,StarCars,StarCars / StarCars Celestial / 2020,FU1PXRCFZ9QK678J,Registered,Z9QK678J,Z9,StarCars Celestial,2020,02/05/2020,15/03/2022,StarCars Meteor Assembly,StarCars Stellar Auto,UK
dealer_8589934593,plant_8589934593,StarCars,StarCars / StarCars Meteor / 2020,BDFMKYCDUMNXZKFW,Not registered,UMNXZKFW,UM,StarCars Meteor,2020,03/07/2020,28/06/2022,StarCars Galaxy Works,StarCars Nebula Motors,AT
dealer_8589934593,plant_8589934592,StarCars,StarCars / StarCars Galaxy / 2019,NRQJ7W2GJHHBZC0W,Not registered,JHHBZC0W,JH,StarCars Galaxy,2019,17/12/2019,31/08/2019,StarCars Meteor Assembly,StarCars Nebula Motors,AT
dealer_8589934594,plant_25769803776,StarCars,StarCars / StarCars Meteor / 2019,HHI93XDYAWVP8MRY,Registered,AWVP8MRY,AW,StarCars Meteor,2019,23/06/2019,20/01/2023,StarCars Stellar Factory,StarCars Orion Auto,CH
dealer_8589934594,plant_0,StarCars,StarCars / StarCars Supernova / 2019,K8SDECIFG2SECTWH,Not registered,G2SECTWH,G2,StarCars Supernova,2019,28/07/2019,25/03/2020,StarCars Nova Plant,StarCars Orion Auto,CH
dealer_8589934592,plant_8589934592,StarCars,StarCars / StarCars Orion / 2020,XBJ2UZW30FHB7QOP,Not registered,0FHB7QOP,0F,StarCars Orion,2020,03/02/2020,07/05/2023,StarCars Meteor Assembly,StarCars Cosmic Cars,CA
dealer_1,plant_0,StarCars,StarCars / StarCars Black Hole / 2020,HPXY8FPUZAUIFKQE,Not registered,ZAUIFKQE,ZA,StarCars Black Hole,2020,13/01/2020,23/12/2020,StarCars Nova Plant,StarCars Stellar Auto,UK
dealer_8589934592,plant_17179869185,StarCars,StarCars / StarCars Andromeda / 2019,IYB2OPFVJN3LXKSG,Not registered,JN3LXKSG,JN,StarCars Andromeda,2019,13/01/2019,23/07/2022,StarCars Nebula Plant,StarCars Cosmic Cars,CA
dealer_8589934592,plant_25769803776,StarCars,StarCars / StarCars Nebula / 2019,CYCNYBSSLSH0SY9B,Registered,LSH0SY9B,LS,StarCars Nebula,2019,04/10/2019,26/08/2022,StarCars Stellar Factory,StarCars Cosmic Cars,CA
dealer_1,plant_8589934593,StarCars,StarCars / StarCars Black Hole / 2020,SFBHMCENIFNIHJH7,Registered,IFNIHJH7,IF,StarCars Black Hole,2020,25/02/2020,23/10/2021,StarCars Galaxy Works,StarCars Stellar Auto,UK
dealer_0,plant_0,StarCars,StarCars / StarCars Celestial / 2019,KHWM31ZZPQBUWD7R,Registered,PQBUWD7R,PQ,StarCars Celestial,2019,10/11/2019,13/05/2019,StarCars Nova Plant,StarCars Galaxy Motors,DE
dealer_0,plant_0,StarCars,StarCars / StarCars Eclipse / 2020,ZTMESUFJKOIFZASS,Registered,KOIFZASS,KO,StarCars Eclipse,2020,01/01/2020,26/09/2022,StarCars Nova Plant,StarCars Galaxy Motors,DE
dealer_0,plant_25769803777,StarCars,StarCars / StarCars Celestial / 2020,O68TAFEUCWI302BW,Not registered,CWI302BW,CW,StarCars Celestial,2020,07/04/2020,20/04/2023,StarCars Celestial Assembly,StarCars Galaxy Motors,DE
dealer_8589934594,plant_25769803776,StarCars,StarCars / StarCars Andromeda / 2019,CL99TKJA14BZWPC6,Registered,14BZWPC6,14,StarCars Andromeda,2019,21/10/2019,04/07/2022,StarCars Stellar Factory,StarCars Orion Auto,CH
dealer_8589934594,plant_8589934592,StarCars,StarCars / StarCars Milky Way / 2018,ZNCSOXYQRTGJPL4R,Registered,RTGJPL4R,RT,StarCars Milky Way,2018,02/05/2018,09/05/2020,StarCars Meteor Assembly,StarCars Orion Auto,CH
dealer_8589934593,plant_25769803777,StarCars,StarCars / StarCars Comet / 2020,LQKJGYCNJBUMUIS5,Not registered,JBUMUIS5,JB,StarCars Comet,2020,13/01/2020,08/06/2022,StarCars Celestial Assembly,StarCars Nebula Motors,AT
dealer_8589934593,plant_25769803777,StarCars,StarCars / StarCars Andromeda / 2018,L0JLD4IIEKMVAHDS,Registered,EKMVAHDS,EK,StarCars Andromeda,2018,23/10/2018,03/05/2023,StarCars Celestial Assembly,StarCars Nebula Motors,AT
dealer_0,plant_17179869184,StarCars,StarCars / StarCars Nova / 2018,EXK0HAJ8T0CM24FN,Not registered,T0CM24FN,T0,StarCars Nova,2018,26/07/2018,20/08/2019,StarCars Orion Manufacturing,StarCars Galaxy Motors,DE
dealer_8589934593,plant_1,StarCars,StarCars / StarCars Comet / 2018,JIR9VNZ0T1NHELCT,Registered,T1NHELCT,T1,StarCars Comet,2018,17/08/2018,03/03/2019,StarCars Comet Factory,StarCars Nebula Motors,AT
dealer_8589934593,plant_25769803776,StarCars,StarCars / StarCars Galaxy / 2018,J83L9IHJ4IXGDOZV,Registered,4IXGDOZV,4I,StarCars Galaxy,2018,09/07/2018,24/07/2022,StarCars Stellar Factory,StarCars Nebula Motors,AT
dealer_8589934592,plant_17179869184,StarCars,StarCars / StarCars Lunar / 2018,SMOTN71ADFAPLDA1,Registered,DFAPLDA1,DF,StarCars Lunar,2018,20/07/2018,25/02/2021,StarCars Orion Manufacturing,StarCars Cosmic Cars,CA
dealer_8589934594,plant_25769803777,StarCars,StarCars / StarCars Black Hole / 2018,FOVC1FVXBSAKLLKQ,Registered,BSAKLLKQ,BS,StarCars Black Hole,2018,03/10/2018,24/11/2018,StarCars Celestial Assembly,StarCars Orion Auto,CH
dealer_8589934594,plant_8589934593,StarCars,StarCars / StarCars Comet / 2019,CCXCIA3KD173TET7,Registered,D173TET7,D1,StarCars Comet,2019,22/08/2019,28/08/2021,StarCars Galaxy Works,StarCars Orion Auto,CH
dealer_8589934592,plant_8589934593,StarCars,StarCars / StarCars Lunar / 2020,L7XG5DAQXFJSPVDL,Registered,XFJSPVDL,XF,StarCars Lunar,2020,27/07/2020,29/03/2022,StarCars Galaxy Works,StarCars Cosmic Cars,CA
dealer_8589934592,plant_0,StarCars,StarCars / StarCars Nova / 2020,GVGS3RPNCQK5FFIE,Not registered,CQK5FFIE,CQ,StarCars Nova,2020,01/02/2020,20/01/2022,StarCars Nova Plant,StarCars Cosmic Cars,CA
dealer_1,plant_25769803777,StarCars,StarCars / StarCars Galaxy / 2020,A3AVDR5JIDVITXAL,Not registered,IDVITXAL,ID,StarCars Galaxy,2020,05/10/2020,26/09/2022,StarCars Celestial Assembly,StarCars Stellar Auto,UK
dealer_8589934593,plant_17179869184,StarCars,StarCars / StarCars Nova / 2020,WIOZPMVNQU7Z409H,Not registered,QU7Z409H,QU,StarCars Nova,2020,27/11/2020,21/06/2023,StarCars Orion Manufacturing,StarCars Nebula Motors,AT
dealer_0,plant_8589934592,StarCars,StarCars / StarCars Orion / 2019,NWIVAJVCE2WLPS6K,Not registered,E2WLPS6K,E2,StarCars Orion,2019,18/10/2019,05/03/2019,StarCars Meteor Assembly,StarCars Galaxy Motors,DE
dealer_8589934592,plant_0,StarCars,StarCars / StarCars Orion / 2020,NOWFYCRGPWIOYG6M,Not registered,PWIOYG6M,PW,StarCars Orion,2020,17/09/2020,13/06/2023,StarCars Nova Plant,StarCars Cosmic Cars,CA
dealer_0,plant_25769803776,StarCars,StarCars / StarCars Nebula / 2020,LPF0QUMLU22IN6FT,Not registered,U22IN6FT,U2,StarCars Nebula,2020,18/01/2020,26/04/2022,StarCars Stellar Factory,StarCars Galaxy Motors,DE
dealer_8589934592,plant_1,StarCars,StarCars / StarCars Black Hole / 2020,BYERRWUS8VLEFXXQ,Not registered,8VLEFXXQ,8V,StarCars Black Hole,2020,09/10/2020,01/07/2022,StarCars Comet Factory,StarCars Cosmic Cars,CA
dealer_8589934593,plant_8589934592,StarCars,StarCars / StarCars Orion / 2018,TNSCXUYQCJJCM6BT,Not registered,CJJCM6BT,CJ,StarCars Orion,2018,14/02/2018,15/11/2022,StarCars Meteor Assembly,StarCars Nebula Motors,AT
dealer_8589934592,plant_1,StarCars,StarCars / StarCars Black Hole / 2019,YMEYWORAXTZW0IGX,Not registered,XTZW0IGX,XT,StarCars Black Hole,2019,23/04/2019,07/04/2020,StarCars Comet Factory,StarCars Cosmic Cars,CA
dealer_8589934593,plant_8589934592,StarCars,StarCars / StarCars Comet / 2019,YRWNNP8WHHRRGC1D,Registered,HHRRGC1D,HH,StarCars Comet,2019,08/10/2019,02/03/2023,StarCars Meteor Assembly,StarCars Nebula Motors,AT
dealer_8589934594,plant_25769803777,StarCars,StarCars / StarCars Stellar / 2019,32ZK5WADLBG7DXOG,Not registered,LBG7DXOG,LB,StarCars Stellar,2019,08/09/2019,13/05/2020,StarCars Celestial Assembly,StarCars Orion Auto,CH
dealer_8589934594,plant_8589934592,StarCars,StarCars / StarCars Black Hole / 2018,FFT377WSQG1H8IAQ,Registered,QG1H8IAQ,QG,StarCars Black Hole,2018,24/11/2018,17/10/2022,StarCars Meteor Assembly,StarCars Orion Auto,CH
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
